Company,Type of transaction,Sector,Lead,Other investors,Month,Series,Amount USD,Amount Original Currency,Country,Note
Fossa Systems,"Government, Investment",,,,,Series A,1M,,Spain,not confirmed
Hiber,Failed Acquisition,,,,,,,,,failed acquisition by Astrocast
OneWeb,M&A,,,,,,,,,acquimerger by Eutelsat
DRS Leonardo Global Enterprise Solutions,M&A,,,,,,,,,by SES Government Solutions to form SES Space and Defense
Hispamar,M&A,,,,,,,,,by Hispasat
Axxess Networks,M&A,,,,,,,,,by Hispasat
eSat Global,"Investment, Strategic",Satellite IoT,YahSat,,,,,,US,
Kacific,SPAC Speculation,,,,,,,,,
Infostellar,Investment,GSaaS,,,,,,,,
Atlas,Investment,GSaaS,,,,,,,,
Contec,Investment,GSaaS,,,,,,,,
Mynaric,"Investment, Strategic",Optical Communications,L3 Harris,,,post-IPO equity,,11.2M Eur,Germany,
Cailabs,"Government, Investment",Optical Communications,NewSpace Capital,"Definvestment, Safran Corpoate Ventures",,,,26M Eur,France,
Miratlas,Investment,"Optical Communications, Software",Karista (Cosmi Capital),,,,,,France,
Salo Sciences,M&A,,,,,,,,,by Planet
Officina Stellare,"Investment, Strategic","Components, EO Hardware",,,,Strategic round,,rough magnitude of 3.5M USD,Italy,
Bayanat,IPO,,,,,,,,UAE,
Satlantis,Investment,EO Hardware,EES,,,Strategic round,,,Spain,
EOI Data,trade arrangement,EO Upstream,NTT Data,,,,,,US,
Absolut Group,"Corporate Investment, Investment, Strategic",EO Upstream,Vol-V,,,,,13M,France,
ConstellR,"Government, Investment",EO Upstream,"LukeStar, VSquared Ventures","FTTF, In-Q-Tel, OHB Ventures, Seraphim",,Seed,10M,,Germany,
ScanWorld,M&A,EO Upstream,,,,,,,Belgium,"as sort of acquisition by ConstellR, ScanWorld’s mother company joined ConstellR as a shareholder"
Wyvern,Investment,"EO Upstream, Hyperspectral",Uncork,"Asymmetry Ventures, Emerging Ventures, MaC venture Capital, Moving Capital, Rebel Fund, Unpopular Ventures",,,7M,,Canada,2 different rounds
GalaxyEye,Investment,EO Upstream,Speciale Invest,"Artha group, Veda vc",December,Seed,3.5M,,India,
Array labs,Investment,EO Upstream,"Agya ventures, Seraphim","BBQ Capital, Rebel Fund, SpaceVC, Y Commbinator",November,Seed,5M,,US,
Nara Space,Investment,EO Upstream,,,,Series A,7.8M USD,,South Korea,
Xplore,Investment,EO Upstream,,"Alumni Ventures, Helios, KittyHawk, Starbridge",,,,,US,"funding up to date 16.2M, mix of gov’t, equity and debt, bit difficult to analyse"
OroraTech,"Investment, Strategic",EO Upstream,Edaphon,"Ananda Impact Ventures, Apex Ventures, Bayern Kapital",November,Series A,15M,,Germany,
MuonSpace,Investment,EO Upstream,Radical Ventures,"Congruent, Costanoa, Space Capital, Ubiquity",June,Series A,25M,,US,
Albedo,Investment,EO Upstream,"Breakthrough Energy Ventures, Shield Capital","Liquid2 Ventures, Republic Capital",,Series A,48M,,US,
Pixxel,Investment,"EO Upstream, Hyperspectral",Radical Ventures,"In-Q-Tel, Lightspeed, Seraphim",March,Series A,25M,,US,
SatelliteVu,"Investment, Strategic","EO Upstream, Thermal",,"In-Q-Tel, Lockheed Martin Ventures",,,5M+,5M GBP,UK,5M GBP extension to make a whole of 20M round
Capella Space,Investment,"EO Upstream, SAR",Night Dragon,"Alumni Ventures, Cota, DCVC",April,Series C,97M,,US,
Synspective,"Corporate Investment, Investment","EO Upstream, SAR",Nomura (Private Equity Arm),Pavilion Capital (of Temasek),,Series B,100M ,approx 100M USD listed in Yen,Japan,via split equity and debt
Iceye,"Corporate Investment, Government, Investment, Strategic","EO Upstream, SAR",Seraphim,"BAE Systems, C16 Ventures (of Cobham), Kajima Ventures",,Seried D,136M,,Finland,
Skyfi,Investment,EO downstream,,"Capital Factory, J2 Ventures, Moving Capital",,,7.15M,,US,
Ursa Space,Investment,EO downstream,Dorilton Ventures,"Paladin Group, Razor's Edge, Safran Corpoate Ventures",,Series C,16M,,US,
Kayrros,"Government, Investment",EO downstream,,"BNP Paribas, BPI Finance, EIB, NewSpaceCapital, Tech Souvereignity",,,40M,,France,
Descartes Labs,M&A,,,,,,,,,distressed acquisition by Antarctica Capital
SatSure,"Investment, Strategic",EO downstream,,"HDFC, Karista (CosmiCapital), Kotak Mahindra",February,,5M,,India,
Old City Innovations,M&A,,,,,,,,,by SatSure
CropTrails,M&A,,,,,,,,,by SatSure
Picterra,Investment,EO downstream,VI Partners,ACE,,Series A,6.5M,,Switzerland,
LiveEO,"Government, Investment",EO downstream,MMC Ventures,,,,17M,,Germany,
AiDash,CLA,EO applications,Schneider Electric (VC Arm),,,CLA,10M,,US,
Neurafarms.ai,M&A,,,,,,,,,by AiDash
Overstory,Investment,EO downstream,Convective Capital,,,Seed,5M,,Netherlands,
Orbica,Investment,EO downstream,Pacific Channel,,,Seed,2.8M,,New Zeeland,
ChAI,Investment,EO applications,Seraphim,"Insurtech Gateway, Passion Capital, Primo Ventures",October,,,,UK,conditions undisclosed
Planet Watchers,Investment,"EO downstream, SAR","Creative Ventures, Seraphim",,,Series A,10M,,Israel,
Qunnect,"Investment, Strategic",Quantum,"Airbus Ventures, Motus Ventures, Quantonation",,,,8M,,US,
AstroForge,Investment,Asteroid Mining,Initialized Capital,"Liquid2 Ventures, Soma, YCommbinator",,Seed,13M,,US,
Xona Space Systems,"Investment, Strategic",LEO PNT,First Spark Ventures,"1517, Lockheed Martin Ventures, Seraphim, SpaceVC, Stellar VC, Toyota Ventures",August,,15M,,US,oversubscribed
Outpost,Investment,Return from Space,,"Draper VC, KittyHawk, Starburst",,,7M,,US,
Aurora Insight,M&A,,,,,,,,,by Maxar
Blackshark.ai,M&A,,,,,,,,,by Maxar
MAxar,"M&A, PE",,,,,,,,,PE takeover by Advent Int’l
Tommorow.io,Cancelled SPAC,,,,,,,,US,
Jua,Investment,Weather,Promus VC,SessionVC,October,Seed,2.5M,,Switzerland,
Airphoton,M&A,,,,,,,,,by Grasp
Grasp,Investment,Weather,,"Cloudflight, Findus Ventures",,Pre-A round,2M,,France,
Dawn,Investment,"Propulsion, Spaceplanes",,,,,,,,
Hermeus,"Government, Investment, Strategic",Spaceplanes,Sam Altman,"Founders Fund, In-Q-Tel, Revolution - Rise of the Rest, Walton Family",March,Series B,100M,,US,
Radian Aerospace,Investment,Spaceplanes,Fine Structures VC,"Explorer 1 Fund, SpaceFund, Type One VC",January,Seed,27.5M,,US,
Destinus,"Government, Investment",Spaceplanes,Conny&Co,"ACE, Liquid2 Ventures",,,29M,,Switzerland,
 Venus Aerospace,Investment,Spaceplanes,Prime Movers Labs,"BoostVC, Cantos",,,20M,,US,
Quantum Space,Investment,Lunar Economy,Prime Movers Labs,,,Series A,15M,,US,
Acquarian,"Failure, M&A",,,,,,,,,acquibanktrupcy intp Crean
Masten Space Technology,Failure,,,,,,,,,acquibanktrupcy into Astrobotic
Lunar Outpost,Investment,Lunar Economy,Explorer 1 Fund,"Cathexis, Promus VC, Space Capital, Type One VC",May,Seed,12M,,US,
Intuitive Machines,SPAC,Lunar Economy,,,,,,,,
Gravitics,Investment,Space Stations,Type One,"Draper VC, Gainangels, Helios, ManhattanWest",,Seed,20M,,US,
Interstellar Labs,,,,,,,,,,
Yuri,,,,,,,,,,
Axiom,,,,,,,,,,
ValiSpace,,,,,,,,,,
Vestigo Aerospace,,,,,,,,,,
SpaceDots,,,,,,,,,,
LongShot,,,,,,,,,,
Titan Space,,,,,,,,,,
ArkEdgeSpace,,,,,,,,,,
Cognitive3D,,,,,,,,,,
VioletLabs,,,,,,,,,,
Irreo,,,,,,,,,,
Eolian,,,,,,,,,,
Apogeo Space,,,,,,,,,,
Zeno Power,,,,,,,,,,
Adranos,,,,,,,,,,
Nuview,,,,,,,,,,
Ubotica,,,,,,,,,,
Connectica,,,,,,,,,,
Cosmic Shielding Corp,,,,,,,,,,
Skyloom,,,,,,,,,,
Sen,,,,,,,,,,
Adranos,,,,,,,,,,
